make_model,location,price,body_type,type,warranty,mileage,gearbox,fuel_type,colour,paint,seller,gears,drivetrain,entertainment_media,extras,full_service_history,nonsmoker_vehicle,upholstery,power_hp,safety_category,emission_category
Mercedes-Benz A 45 AMG,ES,37490.0, Compact, Used,Yes,81500.0,Automatic,benzine,Red,Nonmetallic,Dealer,7.0, 4WD,Standard,2.0,No,No,Leather,381.0,low,high
Mercedes-Benz A 180,ES,21000.0, Compact, Used,Yes,172700.0,Automatic,diesel,Grey,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,109.0,low,high
Mercedes-Benz A 180,ES,26800.0, Compact, Used,Yes,18989.0,Automatic,diesel,Grey,Metallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,116.0,low,high
Mercedes-Benz A 180,ES,32900.0, Compact, Pre-registered,Yes,25.0,Manual,benzine,White,Nonmetallic,Dealer,6.0, Front,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 200,BE,32950.0, Compact, Used,No,24244.0,Manual,benzine,Grey,Metallic,Dealer,7.0, Front,Standard,3.0,No,No,Leather,163.0,low,high
Mercedes-Benz GLC 220,ES,64900.0, Compact, Used,Yes,6589.0,Automatic,diesel,Black,Nonmetallic,Dealer,9.0, 4WD,Standard,2.0,No,No,Leather,194.0,low,high
Mercedes-Benz A 45 AMG,ES,67900.0, Compact, Used,Yes,6564.0,Automatic,benzine,White,Nonmetallic,Dealer,8.0, 4WD,Standard,1.0,No,No,Leather,400.0,low,high
Mercedes-Benz A 160,BE,13999.0, Compact, Used,No,128644.0,Manual,diesel,Black,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,90.0,low,mid
Mercedes-Benz A 45 AMG,ES,29990.0, Compact, Used,Yes,120000.0,Automatic,benzine,White,Nonmetallic,Dealer,7.0, 4WD,Standard,1.0,No,No,Leather,360.0,low,high
Mercedes-Benz A 200,DE,8300.0, Compact, Used,Yes,71752.0,Automatic,benzine,Black,Metallic,Dealer,7.0, Front,Standard,11.0,Yes,Yes,Leather,136.0,middle,mid-low
Mercedes-Benz A 200,BE,32950.0, Compact, Used,No,34942.0,Automatic,benzine,Black,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,163.0,low,high
Mercedes-Benz A 180,BE,32950.0, Compact, Used,No,20124.0,Automatic,benzine,Black,Nonmetallic,Dealer,7.0, Front,Standard,2.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 250,ES,36900.0, Compact, Used,Yes,11990.0,Automatic,electric,White,Nonmetallic,Dealer,8.0, Front,Standard,5.0,No,No,Other,218.0,low,high
Mercedes-Benz E 220,ES,29800.0, Compact, Used,Yes,55226.0,Manual,diesel,Grey,Nonmetallic,Dealer,9.0, Rear,Standard,1.0,No,No,Leather,170.0,low,high
Mercedes-Benz A 180,ES,18390.0, Compact, Used,Yes,63871.0,Automatic,benzine,Blue,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,122.0,low,high
Mercedes-Benz A 180,ES,25900.0, Compact, Used,Yes,26900.0,Manual,benzine,Grey,Metallic,Dealer,6.0, Front,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 180,ES,25400.0, Compact, Used,Yes,87700.0,Automatic,diesel,Grey,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,116.0,low,high
Mercedes-Benz B 200,ES,29000.0, Compact, Used,No,45701.0,Automatic,diesel,Silver,Nonmetallic,Dealer,8.0, Front,Standard,1.0,No,No,Leather,150.0,middle,high
Mercedes-Benz A 180,BE,29900.0, Compact, Used,Yes,52497.0,Automatic,benzine,Silver,Metallic,Dealer,7.0, Front,Standard,8.0,Yes,Yes,Leather,136.0,high,high
Mercedes-Benz A 180,BE,14490.0, Compact, Used,Yes,118059.0,Manual,diesel,Grey,Metallic,Dealer,6.0, Front,Standard,2.0,No,No,Cloth,109.0,middle,high
Mercedes-Benz A 180,ES,20630.0, Compact, Used,Yes,98258.0,Manual,diesel,Grey,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,116.0,low,high
Mercedes-Benz A 160,BE,27500.0, Compact, Used,No,11394.0,Manual,benzine,Black,Metallic,Dealer,6.0, Front,Standard,1.0,No,No,Leather,109.0,low,high
Mercedes-Benz A 180,DE,8490.0, Compact, Used,Yes,141980.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, Front,Standard,1.0,Yes,Yes,Cloth,116.0,low,mid
Mercedes-Benz A 180,ES,23850.0, Compact, Used,Yes,71098.0,Automatic,diesel,Black,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,109.0,low,high
Mercedes-Benz A 220,ES,35500.0, Compact, Used,Yes,26000.0,Automatic,benzine,Red,Nonmetallic,Dealer,7.0, Front,Standard,2.0,No,No,Cloth,190.0,low,high
Mercedes-Benz A 180,ES,29900.0, Compact, Used,Yes,26500.0,Automatic,diesel,Black,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,116.0,low,high
Mercedes-Benz A 180,ES,25900.0, Compact, Used,Yes,43987.0,Automatic,diesel,Black,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,116.0,low,high
Mercedes-Benz A 180,ES,16700.0, Compact, Used,Yes,139000.0,Automatic,diesel,Grey,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,109.0,low,high
Mercedes-Benz A 180,DE,27460.0, Compact, Used,No,58813.0,Automatic,benzine,Black,Nonmetallic,Dealer,7.0, Front,Standard,5.0,Yes,Yes,Leather,136.0,middle,high
Mercedes-Benz A 200,ES,17399.0, Compact, Used,Yes,100640.0,Manual,diesel,White,Metallic,Dealer,6.0, Front,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 200,ES,23999.0, Compact, Used,Yes,100000.0,Automatic,diesel,White,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 180,ES,29900.0, Compact, Used,Yes,68900.0,Automatic,diesel,White,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,116.0,low,high
Mercedes-Benz A 200,BE,27999.0, Compact, Used,No,41272.0,Automatic,benzine,Silver,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,163.0,low,high
Mercedes-Benz A 180,ES,25600.0, Compact, Used,Yes,49600.0,Automatic,diesel,Silver,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,116.0,low,high
Mercedes-Benz A 180,ES,26850.0, Compact, Used,Yes,28330.0,Automatic,benzine,White,Metallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 250,DE,44785.0, Compact, Used,Yes,9000.0,Automatic,benzine,Red,Metallic,Dealer,8.0, Front,Standard,9.0,Yes,Yes,Other,235.0,middle,high
Mercedes-Benz A 180,BE,25990.0, Compact, Used,No,67626.0,Automatic,benzine,Silver,Metallic,Dealer,7.0, Front,Standard,7.0,Yes,Yes,Cloth,136.0,middle,high
Mercedes-Benz A 200,ES,34995.0, Compact, Used,Yes,8828.0,Automatic,diesel,White,Nonmetallic,Dealer,8.0, 4WD,Standard,1.0,No,No,Leather,150.0,low,high
Mercedes-Benz A 180,ES,27800.0, Compact, Used,Yes,61618.0,Automatic,diesel,Black,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,109.0,low,high
Mercedes-Benz A 180,BE,29999.0, Compact, Used,No,17115.0,Automatic,benzine,White,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 200,DE,38350.0, Compact, Demonstration,Yes,8000.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, Front,Standard,8.0,No,No,Other,163.0,middle,high
Mercedes-Benz A 200,ES,23400.0, Compact, Used,Yes,87500.0,Automatic,diesel,Grey,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 150,DE,7350.0, Compact, Used,Yes,61170.0,Automatic,benzine,Blue,Metallic,Dealer,5.0, Front,Standard,6.0,Yes,Yes,Other,95.0,low,mid-low
Mercedes-Benz A 200,ES,21450.0, Compact, Used,Yes,116715.0,Automatic,diesel,White,Nonmetallic,Dealer,7.0, Front,Standard,3.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 220,DE,43880.0, Compact, Demonstration,Yes,8000.0,Automatic,diesel,Grey,Metallic,Dealer,7.0, Front,Standard,10.0,Yes,No,Leather,190.0,middle,high
Mercedes-Benz A 200,ES,23900.0, Compact, Used,Yes,98781.0,Automatic,diesel,Grey,Metallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz B 200,DE,38880.0, Compact, Demonstration,Yes,22000.0,Automatic,diesel,Blue,Metallic,Dealer,8.0, Front,Standard,8.0,Yes,No,Leather,150.0,middle,high
Mercedes-Benz A 180,ES,27900.0, Compact, Used,Yes,19785.0,Automatic,benzine,White,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 200,ES,33900.0, Compact, Used,Yes,35758.0,Automatic,diesel,Blue,Nonmetallic,Dealer,8.0, Front,Standard,1.0,No,No,Leather,150.0,low,high
Mercedes-Benz A 45 AMG,BE,64999.0, Compact, Used,No,30273.0,Automatic,benzine,Grey,Nonmetallic,Dealer,7.0, 4WD,Standard,1.0,No,No,Leather,400.0,low,high
Mercedes-Benz V 220,ES,37900.0, Compact, Used,Yes,126000.0,Manual,diesel,Black,Nonmetallic,Dealer,9.0, Front,Standard,1.0,No,No,Leather,163.0,low,high
Mercedes-Benz A 180,ES,27490.0, Compact, Used,Yes,91754.0,Automatic,diesel,White,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,116.0,low,high
Mercedes-Benz A 180,DE,24780.0, Compact, Used,No,46403.0,Automatic,benzine,White,Nonmetallic,Dealer,7.0, Front,Standard,5.0,Yes,Yes,Cloth,122.0,middle,high
Mercedes-Benz A 180,DE,9770.0, Compact, Used,No,49658.0,Manual,benzine,Silver,Metallic,Dealer,5.0, Front,Standard,2.0,No,Yes,Cloth,116.0,low,mid
Mercedes-Benz A 150,ES,6990.0, Compact, Used,No,135000.0,Manual,benzine,Black,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Other,95.0,low,mid-low
Mercedes-Benz A 200,ES,7000.0, Compact, Used,No,96000.0,Manual,benzine,Blue,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 250,ES,33999.0, Compact, Used,Yes,12265.0,Automatic,benzine,Black,Nonmetallic,Dealer,7.0, 4WD,Standard,2.0,No,No,Other,218.0,low,high
Mercedes-Benz A 160,BE,25950.0, Compact, Used,No,13863.0,Manual,benzine,Silver,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Leather,109.0,low,high
Mercedes-Benz A 180,BE,31950.0, Compact, Used,No,23644.0,Automatic,benzine,Silver,Metallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 180,ES,25000.0, Compact, Used,Yes,78300.0,Automatic,benzine,White,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 180,BE,14700.0, Compact, Used,Yes,93914.0,Manual,diesel,Black,Metallic,Dealer,6.0, Front,Standard,3.0,No,No,Leather,109.0,middle,high
Mercedes-Benz A 35 AMG,ES,32800.0, Compact, Used,Yes,17900.0,Automatic,benzine,Black,Nonmetallic,Dealer,7.0, 4WD,Standard,2.0,No,No,Leather,306.0,low,high
Mercedes-Benz E 300,NL,4500.0, Compact, Used,No,208608.0,Automatic,lpg/cng,Blue,Nonmetallic,Private seller,9.0, Rear,Standard,1.0,No,No,Other,170.0,low,high
Mercedes-Benz AMG GT,NL,80000.0, Compact, Used,No,94066.0,Automatic,benzine,Black,Nonmetallic,Dealer,9.0, 4WD,Standard,6.0,Yes,No,Leather,367.0,middle,high
Mercedes-Benz A 180,ES,8950.0, Compact, Used,Yes,199000.0,Automatic,diesel,Green,Nonmetallic,Dealer,1.0, Front,Standard,1.0,No,No,Leather,109.0,low,high
Mercedes-Benz AMG GT,NL,80000.0, Compact, Used,No,50264.0,Automatic,benzine,Grey,Metallic,Dealer,9.0, 4WD,Standard,6.0,Yes,Yes,Leather,400.0,middle,high
Mercedes-Benz EQS,NL,80000.0, Compact, Pre-registered,Yes,5712.0,Automatic,electric,Black,Metallic,Dealer,9.0, Rear,Standard,6.0,Yes,No,Leather,333.0,low,high
Mercedes-Benz A 45 AMG,ES,74990.0, Compact, Used,Yes,60000.0,Automatic,benzine,Grey,Nonmetallic,Dealer,8.0, 4WD,Standard,1.0,No,No,Leather,400.0,low,high
Mercedes-Benz A 45 AMG,NL,72500.0, Compact, Used,Yes,34766.0,Automatic,benzine,Black,Metallic,Dealer,7.0, 4WD,Standard,1.0,Yes,No,Leather,400.0,low,high
Mercedes-Benz A 45 AMG,ES,66990.0, Compact, Used,Yes,48000.0,Automatic,benzine,Grey,Nonmetallic,Dealer,8.0, 4WD,Standard,1.0,No,No,Leather,400.0,low,high
Mercedes-Benz AMG GT,NL,80000.0, Compact, Used,Yes,5147.0,Automatic,benzine,Black,Metallic,Dealer,7.0, 4WD,Standard,6.0,Yes,No,Leather,368.0,middle,high
Mercedes-Benz A 35 AMG,NL,56980.0, Compact, Used,No,58592.0,Automatic,benzine,Grey,Nonmetallic,Dealer,7.0, 4WD,Standard,10.0,No,No,Leather,306.0,high,high
Mercedes-Benz A 200,NL,46999.0, Compact, Used,No,5934.0,Automatic,benzine,Black,Metallic,Dealer,7.0, Front,Standard,3.0,Yes,No,Leather,136.0,middle,high
Mercedes-Benz AMG GT,NL,80000.0, Compact, Used,Yes,20133.0,Automatic,benzine,Grey,Metallic,Dealer,9.0, 4WD,Standard,6.0,Yes,No,Leather,367.0,middle,high
Mercedes-Benz A 45 AMG,NL,32999.0, Compact, Used,No,100229.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, 4WD,Standard,7.0,Yes,No,Leather,362.0,high,high
Mercedes-Benz A 45 AMG,NL,39495.0, Compact, Used,No,54510.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, 4WD,Standard,5.0,Yes,No,Leather,381.0,middle,high
Mercedes-Benz A 250,NL,38850.0, Compact, Used,No,49627.0,Automatic,benzine,Grey,Nonmetallic,Dealer,7.0, Front,Standard,3.0,No,No,Cloth,275.0,middle,high
Mercedes-Benz A 180,NL,10950.0, Compact, Used,No,194367.0,Manual,diesel,Grey,Metallic,Dealer,6.0, Front,Standard,1.0,Yes,No,Leather,109.0,middle,mid
Mercedes-Benz A 180,NL,16750.0, Compact, Used,No,184748.0,Automatic,diesel,Black,Nonmetallic,Dealer,6.0, Front,Standard,2.0,No,No,Leather,109.0,middle,high
Mercedes-Benz A 45 AMG,NL,30950.0, Compact, Used,No,115949.0,Automatic,benzine,White,Metallic,Dealer,7.0, 4WD,Standard,7.0,No,No,Leather,381.0,middle,high
Mercedes-Benz EQS,NL,80000.0, Compact, Used,Yes,3808.0,Automatic,electric,Blue,Metallic,Dealer,9.0, Rear,Standard,5.0,Yes,No,Leather,292.0,middle,high
Mercedes-Benz A 180,NL,12950.0, Compact, Used,No,236233.0,Manual,diesel,Grey,Metallic,Dealer,6.0, Front,Standard,2.0,No,No,Leather,109.0,middle,high
Mercedes-Benz A 180,NL,12445.0, Compact, Used,No,177477.0,Manual,diesel,Grey,Metallic,Dealer,7.0, Front,Standard,1.0,Yes,No,Leather,109.0,middle,high
Mercedes-Benz A 35 AMG,NL,48950.0, Compact, Used,No,59012.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, 4WD,Standard,6.0,Yes,Yes,Leather,306.0,middle,high
Mercedes-Benz A 45 AMG,NL,28445.0, Compact, Used,No,117613.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, 4WD,Standard,6.0,No,No,Leather,360.0,middle,high
Mercedes-Benz A 200,NL,48136.0, Compact, Used,No,4537.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, Front,Standard,4.0,Yes,No,Leather,136.0,middle,high
Mercedes-Benz A 200,NL,51999.0, Compact, Used,No,6642.0,Automatic,benzine,Black,Metallic,Dealer,7.0, Front,Standard,3.0,Yes,No,Leather,136.0,middle,high
Mercedes-Benz A 180,NL,14945.0, Compact, Used,Yes,188018.0,Automatic,benzine,White,Metallic,Dealer,8.0, Front,Standard,4.0,Yes,No,Leather,122.0,middle,high
Mercedes-Benz A 45 AMG,ES,39900.0, Compact, Used,Yes,46300.0,Automatic,benzine,Black,Nonmetallic,Dealer,7.0, 4WD,Standard,2.0,No,No,Leather,381.0,low,high
Mercedes-Benz A 45 AMG,NL,25950.0, Compact, Used,No,136404.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, 4WD,Standard,7.0,Yes,No,Leather,362.0,middle,high
Mercedes-Benz A 180,NL,16950.0, Compact, Used,Yes,165282.0,Manual,diesel,White,Nonmetallic,Dealer,7.0, Front,Standard,3.0,No,No,Leather,109.0,middle,mid
Mercedes-Benz A 35 AMG,BE,66890.0, Compact, Used,No,500.0,Automatic,benzine,Grey,Nonmetallic,Dealer,7.0, 4WD,Standard,2.0,No,No,Leather,306.0,low,high
Mercedes-Benz A 45 AMG,NL,34900.0, Compact, Used,Yes,52694.0,Automatic,benzine,Black,Metallic,Dealer,7.0, 4WD,Standard,5.0,Yes,No,Leather,381.0,middle,high
Mercedes-Benz A 45 AMG,NL,44988.0, Compact, Used,Yes,62182.0,Automatic,benzine,Grey,Nonmetallic,Dealer,7.0, 4WD,Standard,8.0,Yes,No,Leather,379.0,middle,high
Mercedes-Benz A 200,NL,27425.0, Compact, Used,Yes,139464.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, Front,Standard,3.0,No,No,Leather,163.0,middle,high
Mercedes-Benz A 250,NL,44980.0, Compact, Used,No,34408.0,Automatic,benzine,Black,Nonmetallic,Dealer,7.0, Front,Standard,7.0,No,No,Leather,224.0,middle,high
Mercedes-Benz A 220,NL,33945.0, Compact, Used,No,47514.0,Automatic,benzine,Black,Metallic,Dealer,7.0, Front,Mid-range,4.0,No,No,Cloth,190.0,middle,high
Mercedes-Benz A 45 AMG,NL,29950.0, Compact, Used,No,69463.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, 4WD,Standard,6.0,Yes,No,Leather,362.0,middle,high
Mercedes-Benz A 180,NL,19950.0, Compact, Used,No,141989.0,Manual,diesel,Black,Nonmetallic,Dealer,6.0, Front,Standard,3.0,No,No,Leather,109.0,middle,high
Mercedes-Benz A 250,NL,44500.0, Compact, Used,No,14250.0,Automatic,electric,Grey,Metallic,Dealer,7.0, Front,Standard,6.0,No,No,Leather,160.0,middle,high
Mercedes-Benz A 160,NL,22945.0, Compact, Used,Yes,108464.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, Front,Standard,6.0,Yes,No,Leather,102.0,middle,high
Mercedes-Benz A 200,NL,38999.0, Compact, Used,No,59381.0,Automatic,benzine,White,Metallic,Dealer,7.0, Front,Standard,3.0,Yes,No,Leather,136.0,middle,high
Mercedes-Benz A 180,ES,6400.0, Compact, Used,Yes,179000.0,Automatic,diesel,Beige,Metallic,Dealer,6.0, Front,Standard,1.0,No,No,Leather,109.0,low,high
Mercedes-Benz A 180,ES,13990.0, Compact, Used,Yes,123000.0,Manual,diesel,Black,Metallic,Dealer,6.0, Front,Standard,1.0,No,No,Leather,109.0,low,high
Mercedes-Benz A 180,ES,23990.0, Compact, Used,Yes,51078.0,Automatic,diesel,Grey,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,116.0,low,high
Mercedes-Benz A 180,BE,16800.0, Compact, Used,No,154000.0,Automatic,diesel,White,Nonmetallic,Dealer,7.0, Front,Standard,5.0,No,Yes,Leather,109.0,middle,mid
Mercedes-Benz A 200,NL,26900.0, Compact, Used,Yes,139719.0,Automatic,diesel,Black,Metallic,Dealer,7.0, Front,Standard,1.0,Yes,No,Leather,150.0,middle,high
Mercedes-Benz A 160,ES,13900.0, Compact, Used,No,212000.0,Manual,diesel,Silver,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,102.0,middle,high
Mercedes-Benz A 35 AMG,NL,59950.0, Compact, Used,Yes,8400.0,Automatic,benzine,Red,Metallic,Dealer,7.0, 4WD,Standard,7.0,Yes,No,Leather,306.0,middle,high
Mercedes-Benz A 250,NL,19750.0, Compact, Used,Yes,151300.0,Automatic,benzine,White,Nonmetallic,Dealer,7.0, Front,Standard,5.0,Yes,Yes,Other,211.0,middle,high
Mercedes-Benz A 140,FR,15000.0, Compact, Used,Yes,129000.0,Automatic,diesel,Grey,Nonmetallic,Dealer,6.0, Front,Standard,1.0,No,No,Cloth,136.0,low,high
Mercedes-Benz A 45 AMG,ES,72890.0, Compact, Used,Yes,12900.0,Automatic,benzine,Black,Nonmetallic,Dealer,8.0, 4WD,Standard,1.0,No,No,Leather,400.0,low,high
Mercedes-Benz A 220,FR,28980.0, Compact, Used,Yes,36605.0,Automatic,diesel,Black,Nonmetallic,Dealer,7.0, Front,Standard,3.0,No,No,Cloth,179.0,low,high
Mercedes-Benz A 220,NL,37900.0, Compact, Used,Yes,71927.0,Automatic,benzine,Blue,Metallic,Dealer,7.0, Front,Standard,5.0,Yes,No,Leather,190.0,middle,high
Mercedes-Benz A 200,FR,23780.0, Compact, Used,No,80928.0,Automatic,diesel,Grey,Nonmetallic,Dealer,7.0, Front,Standard,7.0,No,No,Leather,136.0,middle,high
Mercedes-Benz A 250,ES,31718.0, Compact, Used,Yes,83624.0,Automatic,electric,White,Nonmetallic,Dealer,8.0, Front,Standard,1.0,No,No,Other,218.0,low,high
Mercedes-Benz A 180,ES,26850.0, Compact, Used,Yes,25681.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,136.0,low,high
Mercedes-Benz A 160,AT,4850.0, Compact, Used,No,176000.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,6.0,Yes,Yes,Cloth,95.0,low,mid
Mercedes-Benz A 180,NL,31450.0, Compact, Used,No,99597.0,Automatic,diesel,Black,Metallic,Dealer,7.0, Front,Standard,4.0,Yes,No,Leather,116.0,middle,high
Mercedes-Benz A 180,NL,17944.0, Compact, Used,No,99939.0,Manual,benzine,Black,Metallic,Dealer,7.0, Front,Standard,2.0,Yes,No,Leather,122.0,middle,high
Mercedes-Benz A 200,NL,19950.0, Compact, Used,No,189278.0,Automatic,diesel,Grey,Metallic,Dealer,7.0, Front,Standard,4.0,Yes,No,Leather,136.0,middle,high
Mercedes-Benz A 250,ES,38990.0, Compact, Used,Yes,32800.0,Automatic,electric,White,Nonmetallic,Dealer,8.0, Front,Standard,5.0,No,No,Other,218.0,low,high
Mercedes-Benz A 180,ES,23536.0, Compact, Used,Yes,29721.0,Automatic,diesel,Red,Nonmetallic,Dealer,7.0, Front,Standard,1.0,No,No,Leather,116.0,low,high
Mercedes-Benz A 220,ES,20490.0, Compact, Used,Yes,75000.0,Automatic,diesel,Black,Nonmetallic,Dealer,7.0, Front,Standard,2.0,No,No,Cloth,177.0,low,high
Mercedes-Benz A 200,NL,37950.0, Compact, Used,Yes,67953.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, Front,Standard,4.0,Yes,No,Leather,165.0,middle,high
Mercedes-Benz A 250,ES,36999.0, Compact, Used,Yes,25900.0,Automatic,electric,White,Nonmetallic,Dealer,8.0, Front,Standard,5.0,No,No,Other,218.0,low,high
Mercedes-Benz A 200,NL,33950.0, Compact, Used,No,74951.0,Automatic,benzine,Grey,Metallic,Dealer,7.0, Front,Standard,3.0,Yes,No,Leather,163.0,middle,high
